sample	cluster
37794_S515_L005	cluster_1
37851_S516_L005	cluster_2
38019_S494_L005	cluster_3
38020_S490_L005	cluster_4
38033_S487_L005	cluster_5
38170_S517_L005	cluster_6
38268_S484_L005	cluster_7
38716_S482_L005	cluster_8
38767_S481_L005	cluster_9
38812_S497_L005	cluster_10
39034_S495_L005	cluster_11
39177_S493_L005	cluster_12
39390_S489_L005	cluster_13
39805_S483_L005	cluster_14
40725_S480_L005	cluster_15
40726_S492_L005	cluster_16
40727_S486_L005	cluster_17
40751_S597_L006	cluster_18
41479_S510_L005	cluster_19
42165_S496_L005	cluster_20
42272_S479_L005	cluster_21
42458_S612_L006	cluster_18
4254_S86	cluster_19
4294_S81	cluster_22
4302_S74	cluster_23
4332_S66	cluster_24
43606_S519_L005	cluster_25
4423_S72	cluster_26
4483_S76	cluster_27
45224_S579_L006	cluster_28
4524_S80	cluster_19
45877_S511_L005	cluster_29
46090_S577_L006	cluster_30
46174_S518_L005	cluster_31
4706_S101	cluster_32
47977_S520_L005	cluster_33
4940_S95	cluster_34
4942_S98	cluster_23
5119_S77	cluster_15
5241_S96	cluster_35
5376_S105	cluster_36
5378_S102	cluster_37
5395_S99	cluster_38
5398_S103	cluster_22
5446_S100	cluster_39
5462_S104	cluster_40
5484_S97	cluster_26
55026_S613_L006	cluster_41
5571_S106	cluster_19
55909_S491_L005	cluster_42
5599_S107	cluster_24
56092_S475_L005	cluster_43
56124_S488_L005	cluster_41
56886_S477_L005	cluster_44
5691_S73	cluster_45
5713_S71	cluster_46
5717_S84	cluster_47
57404_S476_L005	cluster_48
57608_S473_L005	cluster_49
57874_S474_L005	cluster_50
57875A_S478_L005	cluster_51
57875B_S485_L005	cluster_52
5793_S75	cluster_53
58024_S383_L005	cluster_54
58077_S500_L005	cluster_55
58583_S504_L005	cluster_56
5860_S70	cluster_57
58653_S506_L005	cluster_58
58674_S575_L006	cluster_19
58728_S499_L005	cluster_59
5872_S85	cluster_60
58913_S501_L005	cluster_61
5893_S90	cluster_62
58970_S502_L005	cluster_63
58971_S507_L005	cluster_64
58972_S508_L005	cluster_65
59303_S590_L006	cluster_22
59358_S503_L005	cluster_66
59359_S578_L006	cluster_19
59418_S587_L006	cluster_67
59419_S505_L005	cluster_68
59459_S581_L006	cluster_69
59460_S582_L006	cluster_70
59502_S583_L006	cluster_71
59712_S585_L006	cluster_72
59753_S592_L006	cluster_20
5978_S78	cluster_73
59824_S584_L006	cluster_74
59854_S588_L006	cluster_75
59856_S580_L006	cluster_76
5992_S92	cluster_77
60177_S586_L006	cluster_78
60261_S595_L006	cluster_79
60573_S589_L006	cluster_80
60604_S593_L006	cluster_81
60642_S591_L006	cluster_82
60675_S594_L006	cluster_83
6088_S79	cluster_27
6089_S69	cluster_84
6135_S94	cluster_85
6206_S93	cluster_5
6256_S91	cluster_33
6286_S82	cluster_86
6316_S68	cluster_87
6330_S88	cluster_88
6357_S87	cluster_89
6358_S67	cluster_90
6393_S83	cluster_33
6522_S89	cluster_91
STP59852_S679_L006	cluster_84
STP60467_S680_L006	cluster_92
STP60663_S678_L006	cluster_93
STP60827_S639_L006	cluster_94
STP60970_S681_L006	cluster_95
STP60985_S682_L006	cluster_96
STP61000_S677_L006	cluster_97
STP61001_S668_L006	cluster_98
STP61002_S635_L006	cluster_99
STP61024_S634_L006	cluster_100
STP61113_S633_L006	cluster_101
STP61218_S630_L006	cluster_102
STP61302_S637_L006	cluster_103
STP61303_S674_L006	cluster_104
STP61313_S627_L006	cluster_103
STP61394_S636_L006	cluster_105
STP61572_S626_L006	cluster_106
STP61575_S654_L006	cluster_107
STP61581_S631_L006	cluster_69
STP61626_S638_L006	cluster_60
STP61651_S643_L006	cluster_108
STP61656_S671_L006	cluster_109
STP61693_S669_L006	cluster_110
STP61694_S667_L006	cluster_111
STP61757_S629_L006	cluster_112
STP61782_S632_L006	cluster_113
STP61786_S640_L006	cluster_48
STP61858_S628_L006	cluster_114
STP61948_S652_L006	cluster_115
STP61980_S670_L006	cluster_116
STP62059_S666_L006	cluster_4
STP62265_S676_L006	cluster_117
STP62294_S675_L006	cluster_118
STP62336_S655_L006	cluster_85
STP62359_S649_L006	cluster_85
STP62360_S659_L006	cluster_119
STP62439_S665_L006	cluster_120
STP62440_S673_L006	cluster_121
STP62498_S642_L006	cluster_121
STP62583_S672_L006	cluster_122
STP62809_S656_L006	cluster_123
STP62844_S644_L006	cluster_124
STP62876_S651_L006	cluster_125
STP62953_S645_L006	cluster_123
STP62957_S663_L006	cluster_66
STP63022_S650_L006	cluster_126
STP63042_S662_L006	cluster_127
STP63114_S648_L006	cluster_128
STP63135_S653_L006	cluster_15
STP63312_S641_L006	cluster_129
STP63351_S646_L006	cluster_123
STP63405_S657_L006	cluster_130
STP63409_S658_L006	cluster_30
STP63439_S664_L006	cluster_131
STP63531_S647_L006	cluster_132
STP63533_S660_L006	cluster_133
STP63613_S661_L006	cluster_134
STP_35241_S213_L004	cluster_35
STP_35872_S261_L004	cluster_60
STP_36557_S249_L004	cluster_135
STP_36772_S248_L004	cluster_136
STP_36783_S247_L004	cluster_137
STP_36936_S211_L004	cluster_138
STP_36939_S212_L004	cluster_139
STP_36960_S210_L004	cluster_140
STP_37171_S199_L004	cluster_141
STP_37173_S200_L004	cluster_142
STP_37174_S201_L004	cluster_143
