sample1 dist sample2
41479_S510_L005 0 4254_S86
41479_S510_L005 0 4524_S80
41479_S510_L005 0 5571_S106
41479_S510_L005 0 58674_S575_L006
41479_S510_L005 0 59359_S578_L006
4254_S86 0 4524_S80
4254_S86 0 5571_S106
4254_S86 0 58674_S575_L006
4254_S86 0 59359_S578_L006
4524_S80 0 5571_S106
4524_S80 0 58674_S575_L006
4524_S80 0 59359_S578_L006
5571_S106 0 58674_S575_L006
5571_S106 0 59359_S578_L006
56124_S488_L005 0 STP_56124B_S236_L004
58674_S575_L006 0 59359_S578_L006
40725_S480_L005 1 5119_S77
40751_S597_L006 1 42458_S612_L006
4423_S72 1 5484_S97
5484_S97 1 STP_47837_S235_L004
4332_S66 2 5599_S107
4423_S72 2 STP_47837_S235_L004
5599_S107 2 STP_37680_S208_L004
56124_S488_L005 2 STP_56124A_S217_L004
STP_35241_S213_L004 2 STP_53446_S221_L004
STP_56124A_S217_L004 2 STP_56124B_S236_L004
5119_S77 3 STP63135_S653_L006
59854_S588_L006 3 STP_37679_S207_L004
STP61302_S637_L006 3 STP61313_S627_L006
STP_38336_S245_L004 3 STP_57060_S224_L004
38170_S517_L005 4 STP_55236_S219_L004
40725_S480_L005 4 STP63135_S653_L006
4302_S74 4 4942_S98
4332_S66 4 STP_37680_S208_L004
47977_S520_L005 4 6393_S83
STP62440_S673_L006 4 STP62498_S642_L006
STP_48479_S237_L004 4 STP_49344_S255_L004
STP_56121_S238_L004 4 STP_58121_S251_L004
38033_S487_L005 5 6206_S93
42165_S496_L005 5 59753_S592_L006
43606_S519_L005 5 STP_42276_S228_L004
4483_S76 5 6088_S79
47977_S520_L005 5 6256_S91
5398_S103 5 59303_S590_L006
55026_S613_L006 5 STP_38249_S244_L004
55026_S613_L006 5 STP_48478_S220_L004
57404_S476_L005 5 STP61786_S640_L006
5872_S85 5 STP_35872_S261_L004
6089_S69 5 STP59852_S679_L006
6256_S91 5 6393_S83
STP62059_S666_L006 5 STP_50745_S214_L004
STP62953_S645_L006 5 STP63351_S646_L006
5241_S96 6 STP_35241_S213_L004
5241_S96 6 STP_53446_S221_L004
55026_S613_L006 6 STP_56124A_S217_L004
57404_S476_L005 6 STP_50113_S225_L004
STP60467_S680_L006 6 STP_45774_S239_L004
STP61626_S638_L006 6 STP_35872_S261_L004
STP62059_S666_L006 6 STP_35241_S213_L004
STP62059_S666_L006 6 STP_53446_S221_L004
STP_36936_S211_L004 6 STP_41477_S252_L004
STP_37681_S209_L004 6 STP_47995_S234_L004
STP_47665_S256_L004 6 STP_52848_S216_L004
4294_S81 7 5398_S103
55909_S491_L005 7 STP_52438_S259_L004
59712_S585_L006 7 STP_37681_S209_L004
6135_S94 7 STP62336_S655_L006
6393_S83 7 STP63405_S657_L006
STP62336_S655_L006 7 STP62359_S649_L006
STP63351_S646_L006 7 STP_45169_S231_L004
STP_35241_S213_L004 7 STP_50745_S214_L004
STP_50745_S214_L004 7 STP_53446_S221_L004
4294_S81 8 59303_S590_L006
46090_S577_L006 8 STP63409_S658_L006
55026_S613_L006 8 56124_S488_L005
55026_S613_L006 8 STP_56124B_S236_L004
60604_S593_L006 8 STP61626_S638_L006
STP61786_S640_L006 8 STP_49433_S226_L004
STP62809_S656_L006 8 STP63351_S646_L006
47977_S520_L005 9 STP63405_S657_L006
57404_S476_L005 9 STP_49433_S226_L004
5872_S85 9 STP61626_S638_L006
STP61786_S640_L006 9 STP_50113_S225_L004
STP62809_S656_L006 9 STP_45169_S231_L004
STP_38249_S244_L004 9 STP_56124A_S217_L004
STP_48478_S220_L004 9 STP_56124A_S217_L004
STP_49433_S226_L004 9 STP_50113_S225_L004
38020_S490_L005 10 STP62059_S666_L006
5241_S96 10 STP62059_S666_L006
59358_S503_L005 10 STP62957_S663_L006
59459_S581_L006 10 STP61581_S631_L006
6135_S94 10 STP62359_S649_L006
6316_S68 10 STP_48481_S253_L004
STP_37171_S199_L004 10 STP_37588_S206_L004
STP_38249_S244_L004 10 STP_48478_S220_L004
38020_S490_L005 11 STP_50745_S214_L004
5241_S96 11 STP_50745_S214_L004
56124_S488_L005 11 STP_38249_S244_L004
56124_S488_L005 11 STP_48478_S220_L004
59712_S585_L006 11 STP_47995_S234_L004
60675_S594_L006 11 STP_48351_S230_L004
STP61113_S633_L006 11 STP_44883_S232_L004
STP62059_S666_L006 11 STP_37681_S209_L004
STP62809_S656_L006 11 STP62953_S645_L006
STP_38249_S244_L004 11 STP_56124B_S236_L004
STP_48478_S220_L004 11 STP_56124B_S236_L004
38020_S490_L005 12 STP_35241_S213_L004
38020_S490_L005 12 STP_53446_S221_L004
57874_S474_L005 12 STP_48481_S253_L004
60604_S593_L006 12 STP_35872_S261_L004
60675_S594_L006 12 STP_52570_S258_L004
6256_S91 12 STP63405_S657_L006
6316_S68 12 STP_47571_S257_L004
STP62953_S645_L006 12 STP_45169_S231_L004
STP_37681_S209_L004 12 STP_50745_S214_L004
38020_S490_L005 13 STP_37681_S209_L004
40726_S492_L005 13 59419_S505_L005
59502_S583_L006 13 59854_S588_L006
STP62059_S666_L006 13 STP_52570_S258_L004
STP_35241_S213_L004 13 STP_37681_S209_L004
STP_37681_S209_L004 13 STP_53446_S221_L004
STP_48351_S230_L004 13 STP_52570_S258_L004
38020_S490_L005 14 5241_S96
5599_S107 14 STP_47214_S233_L004
57874_S474_L005 14 6316_S68
5860_S70 14 STP61113_S633_L006
59502_S583_L006 14 STP61858_S628_L006
59502_S583_L006 14 STP_37679_S207_L004
STP62059_S666_L006 14 STP_48351_S230_L004
STP_37680_S208_L004 14 STP_47214_S233_L004
37851_S516_L005 15 STP_45954_S229_L004
55026_S613_L006 15 STP62294_S675_L006
5860_S70 15 STP_44883_S232_L004
5872_S85 15 60604_S593_L006
59854_S588_L006 15 STP61858_S628_L006
60675_S594_L006 15 STP62059_S666_L006
STP62294_S675_L006 15 STP_56124A_S217_L004
STP62583_S672_L006 15 STP63439_S664_L006
STP_35241_S213_L004 15 STP_52570_S258_L004
