sample1	dist	sample2
37357_S514_L005	0	37316_S513_L005
37316_S513_L005	0	37357_S514_L005
38170_S517_L005	0	37357_S514_L005
STP_55236_S219_L004	0	37357_S514_L005
37357_S514_L005	0	38170_S517_L005
STP_55236_S219_L004	0	38170_S517_L005
42458_S612_L006	0	40751_S597_L006
59753_S592_L006	0	42165_S496_L005
40751_S597_L006	0	42458_S612_L006
5398_S103	0	4294_S81
4942_S98	0	4302_S74
5599_S107	0	4332_S66
STP_42276_S228_L004	0	43606_S519_L005
5484_S97	0	4423_S72
STP_47837_S235_L004	0	4423_S72
6088_S79	0	4483_S76
4302_S74	0	4942_S98
STP63135_S653_L006	0	5119_S77
4294_S81	0	5398_S103
4423_S72	0	5484_S97
STP_47837_S235_L004	0	5484_S97
STP_52438_S259_L004	0	55909_S491_L005
4332_S66	0	5599_S107
STP_56124A_S217_L004	0	56124_S488_L005
STP_56124B_S236_L004	0	56124_S488_L005
57875B_S485_L005	0	57875A_S478_L005
57875A_S478_L005	0	57875B_S485_L005
42165_S496_L005	0	59753_S592_L006
STP_37679_S207_L004	0	59854_S588_L006
4483_S76	0	6088_S79
STP61694_S667_L006	0	STP59304-S34
STP_45774_S239_L004	0	STP60467_S680_L006
STP61062-S28	0	STP60574-S23
STP61520-S30	0	STP60574-S23
STP60574-S23	0	STP61062-S28
STP61520-S30	0	STP61062-S28
STP61313_S627_L006	0	STP61302_S637_L006
STP61302_S637_L006	0	STP61313_S627_L006
TUN68349-S7	0	STP61349-S39
STP61478-S35	0	STP61396-S33
STP61396-S33	0	STP61478-S35
STP60574-S23	0	STP61520-S30
STP61062-S28	0	STP61520-S30
STP68544-S36	0	STP61652-S5
TUN75121-S13	0	STP61652-S5
STP59304-S34	0	STP61694_S667_L006
STP64003-S12	0	STP61755-S16
STP62359_S649_L006	0	STP62336_S655_L006
STP62336_S655_L006	0	STP62359_S649_L006
STP62499-S51	0	STP62439_S665_L006
STP62498_S642_L006	0	STP62440_S673_L006
STP62440_S673_L006	0	STP62498_S642_L006
STP62439_S665_L006	0	STP62499-S51
STP63351_S646_L006	0	STP62953_S645_L006
5119_S77	0	STP63135_S653_L006
STP62953_S645_L006	0	STP63351_S646_L006
STP68461-S41	0	STP63725-S22
STP68352-S48	0	STP63748-S56
STP61755-S16	0	STP64003-S12
STP63748-S56	0	STP68352-S48
STP63725-S22	0	STP68461-S41
STP61652-S5	0	STP68544-S36
TUN75121-S13	0	STP68544-S36
STP_53446_S221_L004	0	STP_35241_S213_L004
59854_S588_L006	0	STP_37679_S207_L004
STP_57060_S224_L004	0	STP_38336_S245_L004
43606_S519_L005	0	STP_42276_S228_L004
STP60467_S680_L006	0	STP_45774_S239_L004
STP_52848_S216_L004	0	STP_47665_S256_L004
4423_S72	0	STP_47837_S235_L004
5484_S97	0	STP_47837_S235_L004
STP_49344_S255_L004	0	STP_48479_S237_L004
STP_48479_S237_L004	0	STP_49344_S255_L004
55909_S491_L005	0	STP_52438_S259_L004
STP_47665_S256_L004	0	STP_52848_S216_L004
STP_35241_S213_L004	0	STP_53446_S221_L004
37357_S514_L005	0	STP_55236_S219_L004
38170_S517_L005	0	STP_55236_S219_L004
STP_58121_S251_L004	0	STP_56121_S238_L004
56124_S488_L005	0	STP_56124A_S217_L004
STP_56124B_S236_L004	0	STP_56124A_S217_L004
56124_S488_L005	0	STP_56124B_S236_L004
STP_56124A_S217_L004	0	STP_56124B_S236_L004
STP_38336_S245_L004	0	STP_57060_S224_L004
STP_56121_S238_L004	0	STP_58121_S251_L004
STP61349-S39	0	TUN68349-S7
TUN78495-S25	0	TUN72010-S3
TUN80213-S1	0	TUN72010-S3
STP61652-S5	0	TUN75121-S13
STP68544-S36	0	TUN75121-S13
TUN72010-S3	0	TUN78495-S25
TUN80213-S1	0	TUN78495-S25
TUN72010-S3	0	TUN80213-S1
TUN78495-S25	0	TUN80213-S1
STP63135_S653_L006	1	40725_S480_L005
STP61786_S640_L006	1	57404_S476_L005
STP61581_S631_L006	1	59459_S581_L006
6393_S83	1	6256_S91
6256_S91	1	6393_S83
STP60265-S54	1	STP59910-S50
STP62779-S37	1	STP60261-S29
STP59910-S50	1	STP60265-S54
59459_S581_L006	1	STP61581_S631_L006
57404_S476_L005	1	STP61786_S640_L006
STP60261-S29	1	STP62779-S37
40725_S480_L005	1	STP63135_S653_L006
STP_41477_S252_L004	1	STP_36936_S211_L004
STP_36936_S211_L004	1	STP_41477_S252_L004
STP_48478_S220_L004	1	STP_45954_S229_L004
STP_45954_S229_L004	1	STP_48478_S220_L004
56124_S488_L005	2	55026_S613_L006
STP_38200_S243_L004	2	55026_S613_L006
STP_38249_S244_L004	2	55026_S613_L006
55026_S613_L006	2	56124_S488_L005
STP62876_S651_L006	2	58024_S383_L005
STP63439_S664_L006	2	STP62583_S672_L006
STP_36783_S247_L004	2	STP62809_S656_L006
58024_S383_L005	2	STP62876_S651_L006
STP_45169_S231_L004	2	STP62953_S645_L006
STP_45169_S231_L004	2	STP63351_S646_L006
STP62583_S672_L006	2	STP63439_S664_L006
STP62809_S656_L006	2	STP_36783_S247_L004
STP_37588_S206_L004	2	STP_37171_S199_L004
STP_37171_S199_L004	2	STP_37588_S206_L004
55026_S613_L006	2	STP_38200_S243_L004
55026_S613_L006	2	STP_38249_S244_L004
STP62953_S645_L006	2	STP_45169_S231_L004
STP63351_S646_L006	2	STP_45169_S231_L004
STP_37524_S197_L004	3	55026_S613_L006
STP_49433_S226_L004	3	57404_S476_L005
STP_35872_S261_L004	3	5872_S85
STP62957_S663_L006	3	59358_S503_L005
STP65317-S8	3	STP58674-S24
STP62953_S645_L006	3	STP62809_S656_L006
STP63351_S646_L006	3	STP62809_S656_L006
STP_45169_S231_L004	3	STP62809_S656_L006
STP62809_S656_L006	3	STP62953_S645_L006
59358_S503_L005	3	STP62957_S663_L006
STP62809_S656_L006	3	STP63351_S646_L006
STP58674-S24	3	STP65317-S8
5872_S85	3	STP_35872_S261_L004
55026_S613_L006	3	STP_37524_S197_L004
STP62809_S656_L006	3	STP_45169_S231_L004
57404_S476_L005	3	STP_49433_S226_L004
STP_50113_S225_L004	3	STP_49433_S226_L004
STP_49433_S226_L004	3	STP_50113_S225_L004
STP_56124A_S217_L004	4	55026_S613_L006
STP_50113_S225_L004	4	57404_S476_L005
STP61626_S638_L006	4	60604_S593_L006
STP62336_S655_L006	4	6135_S94
STP61656_S671_L006	4	STP61303_S674_L006
60604_S593_L006	4	STP61626_S638_L006
STP_35872_S261_L004	4	STP61626_S638_L006
STP61303_S674_L006	4	STP61656_S671_L006
STP_49433_S226_L004	4	STP61786_S640_L006
STP_50745_S214_L004	4	STP62059_S666_L006
6135_S94	4	STP62336_S655_L006
STP_49433_S226_L004	4	STP62876_S651_L006
STP_36783_S247_L004	4	STP62953_S645_L006
STP61626_S638_L006	4	STP_35872_S261_L004
STP62953_S645_L006	4	STP_36783_S247_L004
STP_47995_S234_L004	4	STP_37681_S209_L004
STP_37681_S209_L004	4	STP_47995_S234_L004
STP61786_S640_L006	4	STP_49433_S226_L004
STP62876_S651_L006	4	STP_49433_S226_L004
57404_S476_L005	4	STP_50113_S225_L004
STP62059_S666_L006	4	STP_50745_S214_L004
55026_S613_L006	4	STP_56124A_S217_L004
STP60261-S29	5	4254_S86
STP_53446_S221_L004	5	5241_S96
STP_56124B_S236_L004	5	55026_S613_L006
STP62876_S651_L006	5	56124_S488_L005
6135_S94	5	58024_S383_L005
STP59852_S679_L006	5	6089_S69
58024_S383_L005	5	6135_S94
6089_S69	5	STP59852_S679_L006
4254_S86	5	STP60261-S29
STP_50113_S225_L004	5	STP61786_S640_L006
STP_35241_S213_L004	5	STP62059_S666_L006
STP62953_S645_L006	5	STP62294_S675_L006
STP63351_S646_L006	5	STP62294_S675_L006
STP_45169_S231_L004	5	STP62294_S675_L006
56124_S488_L005	5	STP62876_S651_L006
STP_38200_S243_L004	5	STP62876_S651_L006
STP62294_S675_L006	5	STP62953_S645_L006
STP62294_S675_L006	5	STP63351_S646_L006
STP62059_S666_L006	5	STP_35241_S213_L004
STP62876_S651_L006	5	STP_38200_S243_L004
STP62294_S675_L006	5	STP_45169_S231_L004
STP61786_S640_L006	5	STP_50113_S225_L004
5241_S96	5	STP_53446_S221_L004
55026_S613_L006	5	STP_56124B_S236_L004
STP62779-S37	6	4254_S86
6393_S83	6	47977_S520_L005
STP_37680_S208_L004	6	5599_S107
STP62876_S651_L006	6	57404_S476_L005
STP62336_S655_L006	6	58024_S383_L005
STP62359_S649_L006	6	58024_S383_L005
STP_37681_S209_L004	6	59712_S585_L006
STP62359_S649_L006	6	6135_S94
47977_S520_L005	6	6393_S83
STP_53446_S221_L004	6	STP62059_S666_L006
STP62809_S656_L006	6	STP62294_S675_L006
58024_S383_L005	6	STP62336_S655_L006
58024_S383_L005	6	STP62359_S649_L006
6135_S94	6	STP62359_S649_L006
4254_S86	6	STP62779-S37
STP62294_S675_L006	6	STP62809_S656_L006
57404_S476_L005	6	STP62876_S651_L006
STP_50113_S225_L004	6	STP62876_S651_L006
STP_56124A_S217_L004	6	STP62876_S651_L006
5599_S107	6	STP_37680_S208_L004
59712_S585_L006	6	STP_37681_S209_L004
STP62876_S651_L006	6	STP_50113_S225_L004
STP62059_S666_L006	6	STP_53446_S221_L004
STP62876_S651_L006	6	STP_56124A_S217_L004
STP_48478_S220_L004	7	37851_S516_L005
STP_37680_S208_L004	7	4332_S66
STP63409_S658_L006	7	46090_S577_L006
STP68351-S46	7	5241_S96
STP_35241_S213_L004	7	5241_S96
STP_48478_S220_L004	7	55026_S613_L006
58024_S383_L005	7	56124_S488_L005
STP_38200_S243_L004	7	56124_S488_L005
56124_S488_L005	7	58024_S383_L005
STP66165-S40	7	58024_S383_L005
STP61113_S633_L006	7	5860_S70
5860_S70	7	STP61113_S633_L006
STP_44883_S232_L004	7	STP61113_S633_L006
STP61396-S33	7	STP61394_S636_L006
STP61394_S636_L006	7	STP61396-S33
STP_38249_S244_L004	7	STP62876_S651_L006
STP_56124B_S236_L004	7	STP62876_S651_L006
46090_S577_L006	7	STP63409_S658_L006
58024_S383_L005	7	STP66165-S40
5241_S96	7	STP68351-S46
5241_S96	7	STP_35241_S213_L004
STP_50745_S214_L004	7	STP_35241_S213_L004
4332_S66	7	STP_37680_S208_L004
56124_S488_L005	7	STP_38200_S243_L004
STP62876_S651_L006	7	STP_38249_S244_L004
STP61113_S633_L006	7	STP_44883_S232_L004
37851_S516_L005	7	STP_48478_S220_L004
55026_S613_L006	7	STP_48478_S220_L004
STP_35241_S213_L004	7	STP_50745_S214_L004
STP62876_S651_L006	7	STP_56124B_S236_L004
6206_S93	8	38033_S487_L005
STP_38249_S244_L004	8	56124_S488_L005
STP_48481_S253_L004	8	57874_S474_L005
STP_56124A_S217_L004	8	58024_S383_L005
STP_56124B_S236_L004	8	58024_S383_L005
STP_47995_S234_L004	8	59712_S585_L006
38033_S487_L005	8	6206_S93
STP_48481_S253_L004	8	6316_S68
STP62876_S651_L006	8	STP61786_S640_L006
STP68351-S46	8	STP62059_S666_L006
STP61786_S640_L006	8	STP62876_S651_L006
STP_36783_S247_L004	8	STP63351_S646_L006
STP62059_S666_L006	8	STP68351-S46
STP63351_S646_L006	8	STP_36783_S247_L004
STP_38249_S244_L004	8	STP_38200_S243_L004
STP_56124A_S217_L004	8	STP_38200_S243_L004
56124_S488_L005	8	STP_38249_S244_L004
STP_38200_S243_L004	8	STP_38249_S244_L004
59712_S585_L006	8	STP_47995_S234_L004
